variable,score,fan_out,is_control,logic_depth,dist_pi_cycles,dist_po_cycles,reachable_pos,llm_identified_property,llm_confidence,llm_reasoning
i2c_master_top.tip,0.2866666666666667,1,0.0,2,2.0,1.0,1,,,
i2c_master_top.ien,0.2830952380952381,1,0.0,0,1.0,1.0,1,,,
i2c_master_top.rxr,0.2830952380952381,1,0.0,0,1.0,1.0,1,,,
i2c_master_top.wb_dat_o,0.28095238095238095,0,0.0,1,2.0,0.0,1,,,
i2c_master_top.rd,0.2745238095238095,2,0.0,0,1.0,2.0,1,,,
i2c_master_top.sta,0.2745238095238095,2,0.0,0,1.0,2.0,1,,,
i2c_master_top.wr,0.2745238095238095,2,0.0,0,1.0,2.0,1,,,
i2c_master_top.byte_controller.bit_controller.scl_i,0.27142857142857146,1,0.0,0,0.0,5.0,6,,,
i2c_master_top.byte_controller.scl_i,0.27142857142857146,1,0.0,0,0.0,5.0,6,,,
i2c_master_top.scl_pad_i,0.27142857142857146,1,0.0,0,0.0,5.0,6,,,
i2c_master_top.byte_controller.bit_controller.sta_condition,0.27,1,0.0,2,4.0,1.0,3,,,
i2c_master_top.iack,0.26976190476190476,1,0.0,0,1.0,2.0,2,,,
i2c_master_top.sr,0.2580952380952381,1,0.0,0,2.0,1.0,1,,,
i2c_master_top.byte_controller.i2c_busy,0.22976190476190472,1,0.0,0,5.0,0.0,2,,,
i2c_master_top.rxack,0.18666666666666665,1,0.0,2,6.0,1.0,1,,,
i2c_master_top.i2c_busy,0.1830952380952381,1,0.0,0,5.0,1.0,1,,,
i2c_master_top.irxack,0.15309523809523806,1,0.0,0,5.0,2.0,1,,,
